1,Bermuda,157.5,"9,812 USD",115.8
2,Switzerland,142.9,"7,026 USD",91.4
3,Cayman Islands,138,"5,683 USD",76.6
4,Turks and Caicos Islands,124.6,"2,558 USD",38.2
5,Barbados,121.6,"1,205 USD",18.4
6,New Caledonia,121.4,"1,168 USD",17.9
7,Israel,119.5,"3,550 USD",55.2
8,Denmark,117.3,"5,256 USD",83.3
9,Iceland,115.7,"5,202 USD",83.6
10,Ireland,113.8,"5,346 USD",87.4
11,Luxembourg,113.7,"6,125 USD",100.2
12,Norway,113,"6,515 USD",107.2
13,Bahamas,109.5,"2,315 USD",39.3
14,Australia,109.2,"4,478 USD",76.2
15,Japan,106.9,"3,378 USD",58.7
16,Finland,105.6,"4,142 USD",72.9
17,New Zealand,104.5,"3,444 USD",61.3
18,Sweden,103.9,"4,505 USD",80.6
19,United Kingdom,100.7,"3,246 USD",60
20,United States,100,"5,378 USD",100
21,Canada,97.4,"3,628 USD",69.2
22,Netherlands,97.4,"4,255 USD",81.3
23,Belgium,96.3,"3,765 USD",72.7
24,Austria,96.2,"4,002 USD",77.3
25,France,95.4,"3,283 USD",64
26,Germany,90.5,"3,922 USD",80.6
27,Italy,84.6,"2,683 USD",59
28,South Korea,83.4,"2,738 USD",61.1
29,Hong Kong,80.6,"4,053 USD",93.5
30,Spain,79.9,"2,277 USD",53
31,Singapore,74.8,"4,577 USD",113.7
32,Macao,74.8,"6,301 USD",156.7
33,Portugal,74.4,"1,833 USD",45.8
34,Qatar,73,"4,684 USD",119.3
35,United Arab Emirates,72.3,"3,623 USD",93.1
36,Greece,71.7,"1,507 USD",39.1
37,Latvia,64,"1,466 USD",42.6
38,Czechia,63.2,"1,839 USD",54.1
39,Costa Rica,61.6,955 USD,28.8
40,China,61.3,884 USD,26.8
41,Chile,60.7,"1,123 USD",34.4
42,Kuwait,58.8,"3,024 USD",95.6
43,Croatia,58.1,"1,183 USD",37.9
44,Ecuador,54.2,461 USD,15.8
45,Equatorial Guinea,53.9,484 USD,16.7
46,Hungary,53.8,"1,334 USD",46.1
47,Mexico,51.6,707 USD,25.4
48,Iran,51.5,239 USD,8.6
49,Poland,49.6,"1,273 USD",47.7
50,El Salvador,49.2,304 USD,11.5
51,Serbia,48.2,617 USD,23.8
52,Albania,48.1,434 USD,16.8
53,Brazil,47.4,654 USD,25.7
54,Montenegro,47.2,658 USD,25.9
55,Bulgaria,46.6,795 USD,31.7
56,Romania,46.1,"1,048 USD",42.3
57,Saudi Arabia,45.1,"1,828 USD",75.3
58,Botswana,44.8,553 USD,23
59,Dominican Republic,44.6,605 USD,25.2
60,Iraq,44.5,388 USD,16.2
61,Suriname,44.5,459 USD,19.2
62,Fiji,44.4,393 USD,16.5
63,Morocco,44.1,248 USD,10.5
64,Namibia,43.8,377 USD,16
65,Kenya,42.9,147 USD,6.4
66,South Africa,42.4,451 USD,19.8
67,North Macedonia,42.1,477 USD,21
68,Timor-Leste,41.9,153 USD,6.8
69,Cameroon,41.4,125 USD,5.6
70,Colombia,41.2,482 USD,21.8
71,Philippines,41,286 USD,13
72,Ivory Coast,40.8,190 USD,8.7
73,Senegal,40.6,119 USD,5.5
74,Thailand,40.6,588 USD,26.9
75,Kosovo,40.1,370 USD,17.2
76,Moldova,39.2,381 USD,18.1
77,Malaysia,39.1,882 USD,41.9
78,Bangladesh,38.8,168 USD,8
79,Paraguay,38.6,428 USD,20.6
80,Eswatini,38.3,298 USD,14.5
81,Russia,38,891 USD,43.6
82,Bolivia,37.7,267 USD,13.2
83,Benin,36.7,107 USD,5.4
84,Cambodia,36.5,124 USD,6.3
85,Nicaragua,36.3,154 USD,7.9
86,Laos,36.3,207 USD,10.6
87,Indonesia,35.9,323 USD,16.7
88,Turkey,35.6,754 USD,39.4
89,Nigeria,35.4,167 USD,8.8
90,Vietnam,35,222 USD,11.8
91,Mongolia,34.9,306 USD,16.3
92,Kazakhstan,34.1,723 USD,39.5
93,Armenia,34.1,352 USD,19.2
94,Sri Lanka,31.8,310 USD,18.1
95,Georgia,31.8,358 USD,20.9
96,Burma,31.6,105 USD,6.2
97,Algeria,31.1,296 USD,17.7
98,Ukraine,30.2,295 USD,18.2
99,Zambia,29.6,99 USD,6.2
100,Tunisia,29.3,258 USD,16.4
101,Azerbaijan,29.2,371 USD,23.6
102,Bhutan,29.2,238 USD,15.2
103,India,28.6,158 USD,10.3
104,Nepal,28.1,99 USD,6.6
105,Ghana,27,186 USD,12.8
106,Egypt,26.8,250 USD,17.4
107,Kyrgyzstan,25.8,97 USD,7
108,Tajikistan,25.1,88 USD,6.5
109,Pakistan,24.8,107 USD,8
110,Angola,24.8,186 USD,13.9
